,FX_ID,P4,REND1,REND2,SEXO,ESCOLARIDADE,P1A,P1B,P1C,RACA,RELIGIAO,REGIAO,COND,P2_1,P3_1
17,45 A 54,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,Outros,Sim,Sim,Sim,Preta,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,Não sabe/ Não respondeu
18,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,8ª série (ou 9º ano),Sim,Sim,Sim,Branca,Outros,NORDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
19,55 A 64,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,Outros,Não,Não,Não,Parda,Outros,NORDESTE,INTERIOR,Reduzir a violência,Não sabe/ Não respondeu
20,35 A 44,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Preta,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,Reduzir as desigualdades sociais,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
21,45 A 54,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,Outros,Sim,Sim,Sim,Preta,Assembléia de Deus,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,Não sabe/ Não respondeu
22,35 A 44,Muita vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,FEM,Superior completo,Sim,Sim,Sim,Preta,Outros,NORDESTE,CAPITAL,Ampliar o uso de energias renováveis,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros"
23,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,Outros,Não,Não,Não,Parda,Outros,SUDESTE,PERIFERIA,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
24,35 A 44,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,FEM,Superior incompleto,Não,Não,Sim,Parda,Outros,NORTE,CAPITAL,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
25,45 A 54,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Superior completo,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUL,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
26,35 A 44,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,Outros,Não,Não,Não,Parda,Outras Evangélicas específicas,SUDESTE,INTERIOR,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
27,45 A 54,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,CAPITAL,Melhorar a qualidade da saúde,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
28,65 E MAIS,Alguma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,Outros,Sim,Sim,Sim,Preta,Católica Apostólica Romana,SUDESTE,PERIFERIA,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
29,55 A 64,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 5 A 10,FEM,Superior completo,Sim,Sim,Sim,Branca,Outros,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
30,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Sim,Não,Não,Outros,Outros,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,Não sabe/ Não respondeu
31,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Outros,Sim,Sim,Não,Parda,É religioso mas não segue nenhuma/ Agnóstico,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
32,18 A 24,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,FEM,Outros,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Branca,Católica Apostólica Romana,SUL,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
33,65 E MAIS,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,4ª série (ou 5º ano),Não,Não,Não,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da educação,Não sabe/ Não respondeu
34,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,8ª série (ou 9º ano),Não,Não,Não,Branca,Outros,SUDESTE,CAPITAL,Reduzir a violência,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
35,45 A 54,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Parda,Outros,SUDESTE,PERIFERIA,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
36,45 A 54,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,8ª série (ou 9º ano),Não,Não,Não,Parda,Católica Apostólica Romana,NORDESTE,CAPITAL,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
37,35 A 44,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Parda,Outras Evangélicas específicas,NORDESTE,PERIFERIA,Incentivar a geração de empregos,Não sabe/ Não respondeu
38,45 A 54,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,3ª série,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUL,PERIFERIA,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
39,35 A 44,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,FEM,4ª série (ou 5º ano),Não,Não,Não,Parda,Outras Evangélicas específicas,SUDESTE,CAPITAL,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
40,25 A 34,Nenhuma vontade,NÃO RESPONDEU,NÃO RESPONDEU,MAS,Superior incompleto,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUL,PERIFERIA,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
41,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,8ª série (ou 9º ano),Não,Não,Não,Parda,Católica Apostólica Romana,SUL,INTERIOR,Reduzir a violência,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
42,25 A 34,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,FEM,Superior completo,Sim,Sim,Não,Parda,É religioso mas não segue nenhuma/ Agnóstico,NORDESTE,INTERIOR,Não sabe/ Não respondeu,Não sabe/ Não respondeu
43,25 A 34,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 5 A 10,MAS,Superior completo,Sim,Sim,Sim,Parda,Outros,CENTRO OESTE,INTERIOR,Reduzir as desigualdades sociais,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
44,45 A 54,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,Não sabe/ Não respondeu,Não sabe/ Não respondeu
45,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,Outros,Não,Não,Não,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Incentivar a geração de empregos,Não sabe/ Não respondeu
46,55 A 64,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,4ª série (ou 5º ano),Sim,Sim,Não,Branca,Católica Apostólica Romana,SUDESTE,PERIFERIA,Reduzir as desigualdades sociais,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
47,55 A 64,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,FEM,8ª série (ou 9º ano),Não,Não,Não,Parda,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
48,25 A 34,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,8ª série (ou 9º ano),Sim,Não,Não,Preta,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
49,55 A 64,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,8ª série (ou 9º ano),Não,Não,Não,Parda,Católica Apostólica Romana,NORDESTE,PERIFERIA,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
50,65 E MAIS,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,4ª série (ou 5º ano),Não,Não,Não,Parda,Católica Apostólica Romana,SUDESTE,INTERIOR,Reduzir a violência,Não sabe/ Não respondeu
51,45 A 54,Alguma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,Outros,Não,Não,Não,Branca,Católica Apostólica Romana,SUDESTE,PERIFERIA,Reduzir as desigualdades sociais,Não sabe/ Não respondeu
52,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Branca,Outros,SUL,INTERIOR,Preservar os valores ligados à família,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
53,35 A 44,Alguma vontade,ATÉ 1,ATÉ 1,MAS,8ª série (ou 9º ano),Sim,Sim,Sim,Preta,Outros,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
54,65 E MAIS,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,Outros,Não,Não,Não,Preta,Católica Apostólica Romana,SUDESTE,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Não sabe/ Não respondeu
55,25 A 34,Alguma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,FEM,Superior incompleto,Não,Não,Não,Parda,Evangélica - Não sabe especificar,SUDESTE,CAPITAL,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
56,18 A 24,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,FEM,3ª série,Sim,Sim,Sim,Parda,Assembléia de Deus,SUDESTE,INTERIOR,Defender a igualdade entre homens e mulheres,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
57,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,8ª série (ou 9º ano),Não,Não,Não,Preta,Católica Apostólica Romana,SUDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
58,65 E MAIS,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,4ª série (ou 5º ano),Não,Não,Sim,Branca,Católica Apostólica Romana,SUL,INTERIOR,Incentivar a geração de empregos,Não sabe/ Não respondeu
59,45 A 54,Nenhuma vontade,MAIS DE 5 A 10,MAIS DE 5 A 10,MAS,3ª série,Não,Não,Não,Branca,É religioso mas não segue nenhuma/ Agnóstico,SUDESTE,INTERIOR,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
60,25 A 34,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,FEM,3ª série,Não,Não,Não,Branca,Católica Apostólica Romana,NORDESTE,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
61,35 A 44,Alguma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,FEM,Superior completo,Sim,Sim,Sim,Branca,Outros,SUDESTE,CAPITAL,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
62,25 A 34,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,FEM,Superior incompleto,Não,Não,Não,Preta,Assembléia de Deus,SUDESTE,INTERIOR,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
63,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,Outros,Não,Sim,Não,Parda,Evangélica - Não sabe especificar,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
64,25 A 34,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Sim,Sim,Sim,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Melhorar a qualidade da educação,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
65,45 A 54,Alguma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Branca,Assembléia de Deus,SUDESTE,INTERIOR,Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
66,55 A 64,Alguma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,Outros,Não,Não,Sim,Parda,Católica Apostólica Romana,CENTRO OESTE,INTERIOR,Incentivar a geração de empregos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
67,35 A 44,Nenhuma vontade,MAIS DE 10 A 20,MAIS DE 10 A 20,FEM,Superior completo,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUL,INTERIOR,Reduzir as desigualdades sociais,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
68,25 A 34,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Parda,Outras Evangélicas específicas,SUDESTE,CAPITAL,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
69,65 E MAIS,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,4ª série (ou 5º ano),Sim,Não,Sim,Branca,Católica Apostólica Romana,SUL,INTERIOR,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
70,45 A 54,Muita vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUL,PERIFERIA,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
71,65 E MAIS,Nenhuma vontade,NÃO RESPONDEU,NÃO RESPONDEU,MAS,8ª série (ou 9º ano),Não,Não,Não,Parda,É religioso mas não segue nenhuma/ Agnóstico,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
72,65 E MAIS,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,4ª série (ou 5º ano),Não,Não,Não,Parda,Católica Apostólica Romana,SUDESTE,INTERIOR,Reduzir as desigualdades sociais,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
73,35 A 44,Nenhuma vontade,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,FEM,Outros,Não,Não,Não,Preta,Católica Apostólica Romana,NORDESTE,INTERIOR,Não sabe/ Não respondeu,Não sabe/ Não respondeu
74,18 A 24,Muita vontade,MAIS DE 1 A 2,MAIS DE 5 A 10,MAS,3ª série,Sim,Não,Não,Parda,Assembléia de Deus,SUDESTE,CAPITAL,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
75,25 A 34,Alguma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,Superior completo,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Melhorar a qualidade da educação,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
76,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,FEM,3ª série,Sim,Sim,Sim,Parda,Católica Apostólica Romana,NORDESTE,INTERIOR,Reduzir as desigualdades sociais,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
77,18 A 24,Muita vontade,ATÉ 1,ATÉ 1,FEM,Superior incompleto,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Preta,É religioso mas não segue nenhuma/ Agnóstico,SUDESTE,CAPITAL,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
78,55 A 64,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,Outros,Não,Não,Não,Preta,Católica Apostólica Romana,SUDESTE,PERIFERIA,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
79,35 A 44,Nenhuma vontade,ATÉ 1,ATÉ 1,MAS,8ª série (ou 9º ano),Não,Não,Sim,Parda,É religioso mas não segue nenhuma/ Agnóstico,CENTRO OESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
80,18 A 24,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,8ª série (ou 9º ano),Não,Não,Não,Parda,Outras Evangélicas específicas,SUDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
81,18 A 24,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Parda,Outras Evangélicas específicas,SUL,INTERIOR,Incentivar a geração de empregos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
82,55 A 64,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,MAS,8ª série (ou 9º ano),Não,Sim,Não,Parda,Católica Apostólica Romana,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros"
83,18 A 24,Nenhuma vontade,ATÉ 1,MAIS DE 5 A 10,MAS,Superior incompleto,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Parda,Outras Evangélicas específicas,SUDESTE,CAPITAL,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
84,25 A 34,Nenhuma vontade,MAIS DE 1 A 2,MAIS DE 2 A 5,MAS,3ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Parda,Assembléia de Deus,NORDESTE,INTERIOR,Melhorar a qualidade da saúde,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros"
85,18 A 24,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 5 A 10,MAS,Superior completo,Não,Não,Não,Parda,Outras Evangélicas específicas,SUDESTE,PERIFERIA,Preservar os valores ligados à família,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
86,35 A 44,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,3ª série,Não,Não,Não,Parda,Católica Apostólica Romana,SUDESTE,CAPITAL,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)"
87,35 A 44,Muita vontade,MAIS DE 1 A 2,MAIS DE 1 A 2,FEM,Superior completo,Sim,Sim,Sim,Parda,Outros,SUDESTE,CAPITAL,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos
88,18 A 24,Nenhuma vontade,ATÉ 1,MAIS DE 2 A 5,MAS,Outros,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Branca,Católica Apostólica Romana,SUL,INTERIOR,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos"
89,45 A 54,Nenhuma vontade,ATÉ 1,MAIS DE 1 A 2,MAS,Outros,Não,Não,Sim,Preta,Católica Apostólica Romana,NORDESTE,CAPITAL,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
90,55 A 64,Nenhuma vontade,MAIS DE 2 A 5,MAIS DE 2 A 5,MAS,Superior completo,Sim,Sim,Sim,Branca,Católica Apostólica Romana,SUDESTE,INTERIOR,Melhorar a qualidade da saúde,Não sabe/ Não respondeu
91,18 A 24,Alguma vontade,ATÉ 1,NÃO RESPONDEU,FEM,3ª série,Não,Não,Não,Parda,Evangélica - Não sabe especificar,NORDESTE,INTERIOR,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos
