index,question,llm_answer,true_answer,correct
66,P2_1,reduzir as desigualdades sociais,reduzir a violência,False
66,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
67,P2_1,reduzir as desigualdades sociais,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
67,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
68,P2_1,reduzir as desigualdades sociais,ampliar o uso de energias renováveis,False
68,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
69,P2_1,incentivar a geração de empregos,aumentar os impostos de grandes fortunas (ou dos mais ricos),False
69,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
70,P2_1,preservar os valores ligados à família,reduzir as desigualdades sociais,False
70,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
71,P2_1,incentivar a geração de empregos,melhorar a qualidade da saúde,False
71,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
72,P2_1,incentivar a geração de empregos,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
72,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
73,P2_1,reduzir as desigualdades sociais,incentivar a geração de empregos,False
73,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
74,P2_1,incentivar a geração de empregos,melhorar a qualidade da saúde,False
74,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
75,P2_1,melhorar a qualidade da saúde,melhorar a qualidade da saúde,True
75,P3_1,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
76,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),reduzir as desigualdades sociais,False
76,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
77,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),melhorar a qualidade da saúde,False
77,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",não sabe/ não respondeu,False
78,P2_1,reduzir as desigualdades sociais,incentivar a geração de empregos,False
78,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
79,P2_1,defender a igualdade entre homens e mulheres,não sabe/ não respondeu,False
79,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",não sabe/ não respondeu,False
80,P2_1,melhorar a qualidade da educação,melhorar a qualidade da saúde,False
80,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
81,P2_1,melhorar a qualidade da educação,melhorar a qualidade da saúde,False
81,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",não sabe/ não respondeu,False
82,P2_1,incentivar a geração de empregos,reduzir a violência,False
82,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
83,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
83,P3_1,não sabe,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
84,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),reduzir as desigualdades sociais,False
84,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
85,P2_1,melhorar a qualidade da saúde,aumentar os impostos de grandes fortunas (ou dos mais ricos),False
85,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
86,P2_1,preservar os valores ligados à família,incentivar a geração de empregos,False
86,P3_1,não sabe,não sabe/ não respondeu,False
87,P2_1,incentivar a geração de empregos,reduzir a violência,False
87,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
88,P2_1,incentivar a geração de empregos,melhorar a qualidade da educação,False
88,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,não sabe/ não respondeu,False
89,P2_1,incentivar a geração de empregos,reduzir as desigualdades sociais,False
89,P3_1,responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
90,P2_1,reduzir as desigualdades sociais,melhorar a qualidade da saúde,False
90,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
91,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
91,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
92,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),melhorar a qualidade da saúde,False
92,P3_1,não sabe,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
93,P2_1,incentivar a geração de empregos,melhorar a qualidade da educação,False
93,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
94,P2_1,reduzir as desigualdades sociais,melhorar a qualidade da saúde,False
94,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
95,P2_1,defender a igualdade entre homens e mulheres,incentivar a geração de empregos,False
95,P3_1,não sabe,responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,False
96,P2_1,reduzir as desigualdades sociais,preservar os valores ligados à família,False
96,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (empresas de tecnologia como facebook, youtube, whatsapp, twitter/x, etc.)","ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
97,P2_1,reduzir as desigualdades sociais,melhorar a qualidade da saúde,False
97,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (facebook, youtube, whatsapp, etc.)",False
98,P2_1,melhorar a qualidade da educação,reduzir a violência,False
98,P3_1,nenhuma vontade,"responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",False
99,P2_1,aumentar os impostos de grandes fortunas (ou dos mais ricos),melhorar a qualidade da saúde,False
99,P3_1,responsabilizar e punir as empresas de tecnologia e de comunicação que não removerem postagens com notícias ou conteúdos falsos,"ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",False
100,P2_1,incentivar a geração de empregos,melhorar a qualidade da saúde,False
100,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros",responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,False
101,P2_1,incentivar a geração de empregos,incentivar a geração de empregos,True
101,P3_1,"ampliar a regulamentação, as regras a serem cumpridas pelos usuários que divulgam ou compartilham fake news, criadas por eles próprios ou por terceiros","ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",False
102,P2_1,incentivar a geração de empregos,"combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",False
